chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
2,4.6,4,2.5,3.3,윤우영 교수님,신소재종합설계Ⅰ,2019-1학기,전공선택
4.7,3.2,4,4.3,3.9,김동환 교수님,반도체공정,2019-1학기,전공선택
4.2,4.1,3.2,2.2,2.6,서광석 교수님,유기재료공정,2019-1학기,전공선택
3,4.4,3.4,4,4.6,김영근 교수님,융합기술및신소재응용,2019-1학기,전공선택
4.2,4.4,1.8,1.8,3.4,변동진 교수님,재료공학실험III 설명회 학과홈페이지 참조,2019-1학기,전공필수
3,3,2,2,3,성태연 교수님,재료공학실험III 설명회 학과홈페이지 참조,2019-1학기,전공필수
3,3.5,2,2,2,장호 교수님,재료공학실험III 설명회 학과홈페이지 참조,2019-1학기,전공필수
4.7,4.6,3.3,3.3,2.7,이해근 교수님,전자기학,2019-1학기,전공선택
5,2.3,4,1.7,3.3,서인국 교수님,산학협동강좌I 수업관련 별도안내,2019-1학기,전공선택
2.3,3.7,3,3,3.3,서광석 교수님,졸업종합설계Ⅰ 지도교수 배정 별도안내,2019-1학기,전공필수
2,4.8,2.8,2.4,4,성윤모 교수님,졸업종합설계Ⅰ 지도교수 배정 별도안내,2019-1학기,전공필수
3,4.3,3,3,3,강희민 교수님,졸업종합설계Ⅰ 지도교수 배정 별도안내,2019-1학기,전공필수
4.7,3.1,3,3.1,3.3,김문일 교수님,전기회로Ⅰ,2019-1학기,전공필수
1.7,4.5,2.7,2.8,4,최승연 교수님,전기회로Ⅰ(영강),2019-1학기,전공필수
2.7,3.9,3,3.2,4.1,김수진 교수님,전기회로Ⅰ(영강),2019-1학기,전공필수
1.3,3.6,2.5,3,3.5,유현용 교수님,전기회로Ⅰ(영강),2019-1학기,전공필수
4.8,4.2,3.2,2.8,3.4,윤태웅 교수님,전기회로실험,2019-1학기,전공필수
5,4,2,2,3,이병준 교수님,전기회로실험,2019-1학기,전공필수
3.2,4,2.8,3,4,문병무 교수님,전기회로실험,2019-1학기,전공필수
4.5,2.7,3.7,3.2,2,유현용 교수님,전기회로실험,2019-1학기,전공필수
4,4,4,3.5,3.8,김수진 교수님,전기회로실험(영강),2019-1학기,전공필수
4,3.4,3.4,2.8,2.8,김종옥 교수님,전기회로실험,2019-1학기,전공필수
4.8,4.3,4,3.8,4.3,장길수 교수님,전기회로실험,2019-1학기,전공필수
4.3,3.7,3,3,3.3,이상빈 교수님,전기회로실험,2019-1학기,전공필수
2.3,3.2,2.1,2.3,2.5,김동승 교수님,디지털시스템,2019-1학기,전공필수
1.3,3.1,4,4.3,4.6,김선욱 교수님,디지털시스템,2019-1학기,전공필수
1.4,3.2,3.7,3.5,4,김종국 교수님,디지털시스템,2019-1학기,전공필수
3.9,3.2,4,4.2,2.9,박진우 교수님,확률및랜덤프로세스,2019-1학기,전공선택
1.1,2.5,3.7,3.6,2.6,강충구 교수님,확률및랜덤프로세스,2019-1학기,전공선택
1.3,3.1,3.1,3.3,4,허준 교수님,확률및랜덤프로세스,2019-1학기,전공선택
4.8,3,4.2,4.4,3,김운경 교수님,공학수학Ⅰ,2019-1학기,전공필수
1.4,4.8,2.2,2.2,2.7,Beelee Chua 교수님,공학수학Ⅰ(영강),2019-1학기,전공필수
4,2.6,3.8,3.8,3.5,김미정 교수님,공학수학Ⅰ,2019-1학기,전공필수
2.3,3.4,3.2,3.1,3.6,백상헌 교수님,공학수학Ⅰ,2019-1학기,전공필수
2.6,3.4,3.6,3.8,4.3,박종선 교수님,전자회로I,2019-1학기,전공필수
3.2,3.3,3.8,3.9,3.9,김용신 교수님,전자회로I(영강),2019-1학기,전공필수
2.8,4,3.5,3.8,4.1,이형민 교수님,전자회로I(영강),2019-1학기,전공필수
3.7,3.7,4,2.8,2.6,김규태 교수님,전자회로I,2019-1학기,전공필수
4.8,3.6,3.2,2.6,3,김규태 교수님,전자회로설계및실험I,2019-1학기,전공필수
4,3,3,2.5,2.5,김용신 교수님,전자회로설계및실험I,2019-1학기,전공필수
3,3,3,3,3,박정호 교수님,전자회로설계및실험I,2019-1학기,전공필수
4.6,3.8,3.5,3.3,3.9,박종선 교수님,전자회로설계및실험I,2019-1학기,전공필수
3.7,3.7,3,2.8,3.8,이철진 교수님,전자회로설계및실험I,2019-1학기,전공필수
4.8,4,2.8,4,4.5,전상근 교수님,전자회로설계및실험I,2019-1학기,전공필수
5,4.7,3.3,1,4.3,석준희 교수님,전자회로설계및실험I(영강),2019-1학기,전공필수
2.8,4,3,3.3,4.1,이형민 교수님,전자회로설계및실험I,2019-1학기,전공필수
3.5,3.2,4,3.9,4,윤태웅 교수님,신호와시스템,2019-1학기,전공선택
4.6,2.5,2.7,2.8,2.7,고한석 교수님,신호와시스템(영강),2019-1학기,전공선택
3.1,3.1,3.2,3.3,3.6,김종옥 교수님,신호와시스템,2019-1학기,전공선택
4.6,3.5,3.5,3.2,3.5,김문일 교수님,전자장,2019-1학기,전공선택
