chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.5,2.9,3.6,3.9,3.8,이재철 교수님,재료기계물성,2017-2학기,전공필수
2.9,3.8,2.9,3,3.8,이명규 교수님,재료기계물성(영강) 강의실은 학과홈페이지 참조,2017-2학기,전공필수
4.5,3.5,2.5,2.5,3,서광석 교수님,재료공학실험II 조배정후 학과홈페이지 안내,2017-2학기,전공필수
4.7,4.2,2.5,3.3,3.2,이명규 교수님,재료공학실험II 조배정후 학과홈페이지 안내,2017-2학기,전공필수
5,4,3,2.7,2.3,이준호 교수님,재료공학실험II 조배정후 학과홈페이지 안내,2017-2학기,전공필수
5,3,3,3,3,김웅 교수님,재료공학실험II 조배정후 학과홈페이지 안내,2017-2학기,전공필수
5,3,1,1,1,오승주 교수님,재료공학실험II 조배정후 학과홈페이지 안내,2017-2학기,전공필수
5,4,5,3,2,이종흔 교수님,재료공학실험II 조배정후 학과홈페이지 안내,2017-2학기,전공필수
5,3.7,3.5,3.4,4.3,김동환 교수님,반도체재료,2017-2학기,전공선택
4.6,3.4,4,4.4,4.2,이종흔 교수님,전자세라믹스(영강),2017-2학기,전공선택
4.6,2.5,2.8,3.1,3.3,이성래 교수님,상평형론,2017-2학기,전공선택
4.8,2.3,3.5,3.4,3.4,서지훈 교수님,고분자재료분석(영강),2017-2학기,전공선택
1.7,3.3,3.5,3.8,3.9,성태연 교수님,디스플레이소재및공정(영강),2017-2학기,전공선택
5,3.7,3.7,2.9,3.6,이준호 교수님,소재제련공정(영강),2017-2학기,전공선택
1,3.8,4.9,4.5,3.3,이경진 교수님,고체물리(영강) 강의실은 학과홈페이지 참조,2017-2학기,전공선택
2,3.5,3.9,3.3,3.4,허주열 교수님,열전달및확산,2017-2학기,전공필수
3.2,4.4,3.2,2.6,2.2,윤우영 교수님,신소재종합설계Ⅱ,2017-2학기,전공선택
4.6,3.4,3.3,2.1,3.1,서광석 교수님,유기재료전자물성,2017-2학기,전공선택
4.9,3.4,2.6,2.9,3.8,임대순 교수님,세라믹재료공정,2017-2학기,전공선택
5,4,3,3,3,강윤찬 교수님,재료공학실험IV 조배정후 학과홈페이지 안내,2017-2학기,전공선택
2,3.3,1,1,1,이인환 교수님,재료공학실험IV 조배정후 학과홈페이지 안내,2017-2학기,전공선택
5,3.6,3.3,4.1,4.1,장호 교수님,복합재료,2017-2학기,전공선택
4.8,4.3,3.1,3.3,3.9,이해근 교수님,초전도재료및응용,2017-2학기,전공선택
4.7,3.9,3,2.7,3.4,강윤찬 교수님,전자재료공정,2017-2학기,전공선택
1,3,3,1,3,이헌 교수님,졸업종합설계Ⅱ 지도교수 별도 배정(학과홈페이지 참조),2017-2학기,전공필수
5,3,3,3,2,이경진 교수님,졸업종합설계Ⅱ 지도교수 별도 배정(학과홈페이지 참조),2017-2학기,전공필수
1,5,4,5,4,임상호 교수님,졸업종합설계Ⅱ,2017-2학기,전공필수
3,3.3,3,3.3,2.9,엄두섭 교수님,전기회로Ⅱ,2017-2학기,전공필수
2.5,3.7,2.6,3,2,전완종 교수님,전기회로Ⅱ,2017-2학기,전공필수
4.3,2.7,3.2,3.2,2.1,박귀태 교수님,전기회로Ⅱ,2017-2학기,전공필수
4.2,3.5,3.3,3.6,3.3,김석기 교수님,전기회로Ⅱ,2017-2학기,전공필수
1.7,3.9,4.2,4.1,3.9,김규태 교수님,전자기학,2017-2학기,전공필수
4.9,3.4,3.3,3.2,2.7,김문일 교수님,전자기학,2017-2학기,전공필수
2.9,3.2,3.6,3.7,3.9,전상근 교수님,전자기학(영강),2017-2학기,전공필수
3.4,3.5,3.7,3.8,4,이재성 교수님,전자기학(영강),2017-2학기,전공필수
2.3,3.5,3,3.1,2.1,전완종 교수님,전자기학,2017-2학기,전공필수
1.4,3.6,4.1,4,3.9,김황남 교수님,데이터구조및알고리즘,2017-2학기,전공필수
1.2,3.1,3.7,3.7,3.6,김종국 교수님,데이터구조및알고리즘(영강),2017-2학기,전공필수
1.2,3.2,2.8,3.1,3.5,정창성 교수님,데이터구조및알고리즘,2017-2학기,전공필수
