,ProfessorName,className
405,봉기완 교수님,유체역학(영강)
406,김종엽 교수님,유체역학
407,안동준 교수님,물리화학
408,이정현 교수님,물리화학(영강) 신공학관 B104호에서 수업 진행
409,최정규 교수님,공업수학I(영강) 신공학관 B101호에서 수업 진행
410,김종엽 교수님,공업수학I
411,방준하 교수님,유기화학Ⅰ 신공학관 B101호에서 수업 진행
412,이정현 교수님,유기화학Ⅰ(영강)
413,송광호 교수님,반응공학(영강)
414,이관영 교수님,반응공학
415,이기봉 교수님,분리공정(영강) 신공학관 B105호에서 수업 진행
416,봉기완 교수님,분리공정(영강)
417,정현욱 교수님,공정제어
418,정현욱 교수님,수치해석 신공학관 B104호에서 수업 진행
419,김지현 교수님,반도체화학공정 신공학관 B104호에서 수업 진행
420,이정현 교수님,지식경영Ⅰ
421,이지원 교수님,미생물생명공학
422,하정숙 교수님,화공재료과학
423,오민규 교수님,응용생화학
424,오민규 교수님,화공생명공학연구방법및동향
425,Anzar Khan 교수님,고분자화학(영강)
426,김승욱 교수님,생물분리공정(영강)
427,봉기완 교수님,학부세미나Ⅰ
428,임상혁 교수님,공정및제품설계
429,김승욱 교수님,화공생명공학실험Ⅱ
430,송광호 교수님,화공생명공학실험Ⅱ
431,정현욱 교수님,화공생명공학실험Ⅱ
432,박인원 교수님,국제통상원론(영강)
433,이수훈 교수님,국제관계원론(영강)
434,James William Potter 교수님,세계화의이해(영강)
435,박성훈 교수님,국제통상정책의이론과실제(영강)
436,이동은 교수님,금융시장및금융기관(영강)
437,정서용 교수님,국제기구론(영강)
438,김정호 교수님,국제경영의이해(영강)
439,정세원 교수님,유럽지역입문(영강)
440,심상민 교수님,한국과국제법(영강)
441,정지희 교수님,동아시아문명의이해(영강)
442,박영철 교수님,국제금융:이론및실제(영강)
443,강문성 교수님,세계화와경제개발(영강)
444,김병기 교수님,국제관계특강I(영강)
445,이진원 교수님,세계화와인권(영강)
446,한정선 교수님,전후일본과동아시아(영강)
447,김성한 교수님,북미국제관계(영강)
448,이재승 교수님,에너지와국제관계(영강)
449,서두원 교수님,세미나:세계화와주요이슈(영강)
450,이승호 교수님,국제개발특강I(영강)
451,이재승 교수님,개발협력의주요이슈(영강)
452,박은숙 교수님,서울의이해 (GKS융합전공자에 한함)
453,최은옥 교수님,한국희곡의이해와실습 (GKS융합전공자에 한함)
454,조혜림 교수님,국제개발협력 (GKS융합전공자에 한함)
455,"정종미,구본아 교수님",2D기초조형
456,정소연 교수님,2D기초조형
457,이형욱 교수님,2D기초조형
458,차주천 교수님,디자인표현기법
459,노주현 교수님,디자인표현기법 패션디자인&머천다이징
460,유해영 교수님,4D컴퓨터그래픽
461,인치호 교수님,제품디자인스튜디오ㅣ
462,김현 교수님,디자인과발상
463,염성업 교수님,재료와프로세스
464,"문활람,구모경 교수님",종이&섬유
465,배희경 교수님,드로잉실기
466,이예승 교수님,드로잉실기
467,김수영 교수님,평면재료기법
468,지상덕 교수님,현대벽화연구(영강)
469,이수정 교수님,테라코타와조형
470,이승미 교수님,기초디자인-2D
471,차주천 교수님,제품디자인스튜디오lll
472,강신혁 교수님,제품디자인스튜디오lll
473,박승민 교수님,디자인인간요소(영강)
474,유승헌 교수님,디자인방법론
475,이태일 교수님,인터랙션디자인
476,인치호 교수님,공공디자인(영강)
477,구본아 교수님,수묵의현대적모색
478,김은형 교수님,설치미술
479,노충현 교수님,회화기법연구
480,서용 교수님,한국화-채색I
481,유승헌 교수님,제품시스템디자인(영강)
482,박승민 교수님,제품개발(영강)
483,이태일 교수님,디지털디자인프로젝트
484,김영민 교수님,디자인브랜딩
485,"정종미,한은선 교수님",한국화스튜디오l
486,이문정 교수님,미술비평세미나
487,이기봉 교수님,개념제시연구
488,박태동 교수님,FORM & SPACE
489,"김경현,손병석 교수님","인문융합세미나 문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인"
490,"윤인진,이창호 교수님","인문융합세미나 문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인"
491,김순성 교수님,라틴아메리카의정치경제
492,조영삼 교수님,라틴아메리카의기업경영
493,조혜진 교수님,기초스페인어
494,임은숙 교수님,기초포르투갈어
495,김영신 교수님,라틴아메리카인적자원관리
497,홍정하 교수님,"언어,뇌,컴퓨터의이해"
498,김동광 교수님,대중의과학이해(PUS)와과학커뮤니케이션
499,강윤재 교수님,과학기술과위험사회
500,Jeffrey Holliday 교수님,무제강좌(영강)
501,최귀묵 교수님,한국문학의이해 (국어국문학과 1학년만 수강)* N/A Foreigners
502,이형대 교수님,한국문학의이해 (국문과 1학년 이외의 학생 수강)* N/A Foreigners
503,김기형 교수님,한국문학의이해 (외국인만 수강)* Only for Foreigners
504,홍정하 교수님,한국어정보처리
505,곽효환 교수님,현대시론
506,오형엽 교수님,현대비평론
507,이상우 교수님,현대희곡론
508,강상순 교수님,고전문학사
509,김기형 교수님,구비문학론
510,장효현 교수님,고전소설론
511,강헌국 교수님,현대소설론
512,박치범 교수님,국어교과교육론 *담당교수 변경(장예준->박치범)
513,장예준 교수님,국어교과교재연구및지도법
514,신지영 교수님,한국어음운의이해 강의실변경: 교양관404호->법학신관501호
515,서태길 교수님,한국어의미의이해
516,강헌국 교수님,소설창작연습
517,백진우 교수님,한국한문학개론
518,이형대 교수님,고전시가강독
519,김정숙 교수님,외국어로서의한국어교육
520,권보드래 교수님,"한국근대문학자료강독 - 수업시간: 화목금 34교시(교양관 105호), - Tutorial: 금 34교시(3/24~5/12)"
521,최창원 교수님,한국어방언의이해
522,장경준 교수님,한국어학강독
523,김진규 교수님,중급러시아어I(외국어강의)
524,김혁 교수님,중급러시아어I(외국어강의)
525,석영중 교수님,러시아문학기행
526,Valentina A Bojko 교수님,중급러시아어회화I(외국어강의)
527,김진원 교수님,러시아어의구조
528,이형숙 교수님,러시아문학과영상예술I
529,홍지인 교수님,러시아일상문화
530,이명현 교수님,러시아정교와사상
531,고일 교수님,근대러시아소설
532,고일 교수님,러시아문학강독과번역I
533,Valentina A Bojko 교수님,고급러시아어회화I(외국어강의)
534,변현섭 교수님,러시아사회의이해
535,최정현 교수님,러시아문학사I
536,박현아 교수님,러시아어작문연습
537,이남경 교수님,고급러시아어I(외국어강의)
538,윤성학 교수님,중앙아시아역사와민속문화
539,최진희 교수님,러시아문화사
540,정영주 교수님,슬라브언어와문화
541,정지윤 교수님,러시아어교과교육론
542,김혜란 교수님,러시아작가론|
543,Valentina A Bojko 교수님,시사러시아어연습I(외국어강의)
544,윤창용 교수님,CIS 지역학
545,김혁 교수님,러시아어토르플I(외국어강의)
546,김선안 교수님,러시아어교과논리및논술
547,윤성학 교수님,동북아시아와한러관계사
548,박성철 교수님,독어학개론
549,김용현 교수님,독문학개론
550,Christoph Seifener 교수님,독일명작의고향(외국어강의)
551,김용현 교수님,독일문화의이해
552,전지선 교수님,독어어휘연습I
553,김재혁 교수님,독시선독
554,이경미 교수님,독희곡의이해
555,이은희 교수님,독일문화산업
556,이상욱 교수님,독해와문법Ⅰ
557,Harald Gaerber 교수님,독어 CEFR B I-I(외국어강의)
558,Malte Kelpin 교수님,독어 CEFR B I-I(외국어강의)
559,박성철 교수님,독일어텍스트의이해
560,Malte Kelpin 교수님,ZD회화연습BI(외국어강의)
561,Harald Gaerber 교수님,인터액티브독일어I(외국어강의)
562,"Christoph Seifener,전지선 교수님",독일어작문(외국어강의)
563,유진영 교수님,독일지역학
564,Judith Janna Maertens 교수님,독일어권법문화의이해(외국어강의)
565,유진영 교수님,독일문화특수과제Ⅰ
566,최경인 교수님,영상번역
567,이은희 교수님,통일전후의독일문화
568,강충룡 교수님,프랑스어문법
569,Simon Kim 교수님,프랑스어말하기(외국어강의)
570,Simon Kim 교수님,번역프랑스문학(외국어강의)
571,박선희 교수님,집중프랑스어(외국어강의)
572,손주경 교수님,프랑스문학의이해(외국어강의)
573,강충룡 교수님,프랑스어의이해
574,이미선 교수님,비지니스프랑스어(외국어강의)
575,김화영 교수님,프랑스문학사I
576,김대영 교수님,불한대조분석(외국어강의)
577,이선희 교수님,아동문학번역(외국어강의)
578,유재화 교수님,프랑스어와미디어
579,지영래 교수님,프랑스어권문학(외국어강의)
580,김준현 교수님,프랑스시의이해(외국어강의)
581,조주은 교수님,프랑스문화산업(외국어강의)
582,정명희 교수님,프랑스어교과교육론
583,Jeanmaire Guillaume 교수님,실용텍스트번역(외국어강의)
584,조재룡 교수님,프랑스문학과비평의흐름(외국어강의)
585,최호근 교수님,역사학개론
586,이석현 교수님,동아시아사입문
587,원태준 교수님,서양사입문(영강)
588,김진우 교수님,중국문명과제국체제
589,이훈 교수님,중국근세사
590,김경현 교수님,서양고대사
591,염운옥 교수님,서양근세사
592,최호근 교수님,서양최근세사
593,Frederic Thial de Bordenave 교수님,프랑스문화사(영강)
594,한해정 교수님,독일문화사
595,신지혜 교수님,미국문화사(영강)
596,조명철 교수님,일본사
597,박상수 교수님,동아시아현대사
598,유희수 교수님,중세교회와세속문화
599,홍성곤 교수님,서양의자본주의와제국주의
600,"REN, Jidong 교수님",중국사특강Ⅰ(외국어강의)
601,Kathryn Weathersby 교수님,서양사특강Ⅰ(영강)
602,이형식 교수님,일본사특강
603,이선애 교수님,내륙아시아와중화세계
604,홍성태 교수님,한국사회의구조와변동
605,김수한 교수님,사회조직론(영강)
606,윤인진 교수님,사회심리학
607,고형면 교수님,사회문제론
608,황정미 교수님,"젠더,국가와정책"
609,안호용 교수님,사회인류학
610,장신옥 교수님,환경사회학(영강)
611,조한범 교수님,북한사회의이해
612,박길성 교수님,사회학적상상력 (사회학과 1학년만 수강가능)
613,이윤경 교수님,"사회학적상상력(영강) (사회학과 2,3,4학년 및 타과 수강 가능)"
